id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink
access_hr_payslip_custom,hr.payslip.custom,model_hr_payslip_custom,,1,1,1,1
access_hr_payslip_custom_line,hr.payslip.custom.line,model_hr_payslip_custom_line,,1,1,1,1
access_salaries_excel_sheet,access.salaries.excel.sheet,model_salaries_excel_sheet,,1,1,1,1
access_salaries_excel_line,access.salaries.excel.line,model_salaries_excel_line,,1,1,1,1
access_employee_loan,access.employee.loan,model_employee_loan,,1,1,1,1
access_employee_loan_allocation_line,access.employee.loan.allocation.line,model_employee_loan_allocation_line,,1,1,1,1
access_employee_loan_payment_line,access.employee.loan.payment.line,model_employee_loan_payment_line,,1,1,1,1
access_hr_confirmation_evaluation,access.hr.confirmation.evaluation,model_hr_confirmation_evaluation,,1,1,1,1
access_assessment_criteria,access.assessment.criteria,model_assessment_criteria,,1,1,1,1
access_hr_confirmation_evaluation_superior_line,access.hr.confirmation.evaluation.superior.line,model_hr_confirmation_evaluation_superior_line,,1,1,1,1
access_hr_confirmation_evaluation_hr_line,access.hr.confirmation.evaluation.hr.line,model_hr_confirmation_evaluation_hr_line,,1,1,1,1
access_training_plans,access.training.plans,model_training_plans,,1,1,1,1
access_training_plans_lines,access.training.plans.lines,model_training_plans_lines,,1,1,1,1
access_training_feedback_form,access.training.feedback.form,model_training_feedback_form,,1,1,1,1
access_confirmation_evaluation_reject,access.confirmation.evaluation.reject,model_confirmation_evaluation_reject,,1,1,1,1
access_hr_payslip_custom_account_line,access.hr.payslip.custom.account.line,model_hr_payslip_custom_account_line,,1,1,1,1
access_exit_interview_form,access.exit.interview.form,model_exit_interview_form,,1,1,1,1
access_resignation_reason,access.resignation.reason,model_resignation_reason,,1,1,1,1
access_return_resignation_line,access.return.resignation.line,model_return_resignation_line,,1,1,1,1
access_exit_development_experience,access.exit.development.experience,model_exit_development_experience,,1,1,1,1
access_exit_development_experience_line,access.exit.development.experience.line,model_exit_development_experience_line,,1,1,1,1
access_fastra_leave_request,access.fastra.leave.request,model_fastra_leave_request,,1,1,1,1
access_fastra_leave_lines,access.fastra.leave.lines,model_fastra_leave_lines,,1,1,1,1
access_fastra_leave_type,access.fastra.leave.type,model_fastra_leave_type,,1,1,1,1
access_skilled_workers,access.skilled.workers,model_skilled_workers,,1,1,1,1
access_skilled_workers_staff_line,access.skilled.workers.staff.line,model_skilled_workers_staff_line,,1,1,1,1
access_worker_department,access.worker.department,model_worker_department,,1,1,1,1
access_hr_labors,access.hr.labors,model_hr_labors,,1,1,1,1
access_hr_labors_line,access.hr.labors.line,model_hr_labors_line,,1,1,1,1
access_overtime_guide,access.overtime.guide,model_overtime_guide,,1,1,1,1
access_overtime_guide_line,access.overtime.guide.line,model_overtime_guide_line,,1,1,1,1
access_employee_institute,access.employee.institute,model_employee_institute,,1,1,1,1
access_employee_education,access.employee.education,model_employee_education,,1,1,1,1
access_employee_child,access.employee.child,model_employee_child,,1,1,1,1
access_employee_kin,access.employee.kin,model_employee_kin,,1,1,1,1
access_employee_previous_data,access.employee.previous.data,model_employee_previous_data,,1,1,1,1
access_employee_reference,access.employee.reference,model_employee_reference,,1,1,1,1
access_inter_personal_relation_line,access.inter.personal.relation.line,model_inter_personal_relation_line,,1,1,1,1
access_general_work_culture_line,access.general.work.culture.line,model_general_work_culture_line,,1,1,1,1
access_fastra_leave_history_lines,access.fastra.leave.history.lines,model_fastra_leave_history_lines,,1,1,1,1
